group,n,model_a_qwk,model_a_rmse,model_a_mae,model_a_pearson,model_d_qwk,model_d_rmse,model_d_mae,model_d_pearson,delta_qwk_d_minus_a,delta_rmse_d_minus_a,delta_mae_d_minus_a,delta_pearson_d_minus_a
specificity_low,1237,0.7588576921026521,0.5676657445283974,0.4251203951376913,0.8174324642921339,0.7783623243011679,0.5791427435556739,0.44587962439816514,0.8154174065501546,0.019504632198515837,0.011476999027276502,0.020759229260473855,-0.002015057741979298
specificity_high,1236,0.7448311720088086,0.636864822289827,0.47280326803911077,0.7993904466016035,0.7478462645279615,0.663940568853564,0.5095025582967898,0.797288809121616,0.0030150925191529954,0.027075746563737013,0.03669929025767904,-0.0021016374799874837
emotional_salience_low,1528,0.7620356652144362,0.5930156863185051,0.4387223829773708,0.8160818750349953,0.7760395664580391,0.6172005519505361,0.4728204883085845,0.8137158140989432,0.014003901243602845,0.02418486563203104,0.03409810533121366,-0.0023660609360520723
emotional_salience_high,945,0.7360071834780006,0.6194261447235138,0.4654930866584576,0.7954649437962495,0.7422006196274475,0.6321848564771461,0.485532858518355,0.7930524897170337,0.006193436149446896,0.012758711753632301,0.02003977185989736,-0.0024124540792158644
