essay_id,split,concreteness,specificity,emotional_salience,personal_experience_salience,narrative_event_density
6622,validation,0.003472222222222222,0.003472222222222222,0.003472222222222222,0.04513888888888889,0.006944444444444444
3435,validation,0.0,0.0,0.0,0.036211699164345405,0.005571030640668524
23715,validation,0.003898635477582846,0.003898635477582846,0.001949317738791423,0.03508771929824561,0.001949317738791423
16526,validation,0.021406727828746176,0.0030581039755351682,0.0,0.012232415902140673,0.0030581039755351682
6771,validation,0.017582417582417582,0.004395604395604396,0.002197802197802198,0.02857142857142857,0.006593406593406593
21547,validation,0.0210016155088853,0.0395799676898223,0.006462035541195477,0.008885298869143781,0.0032310177705977385
6992,validation,0.02127659574468085,0.010638297872340425,0.0035460992907801418,0.03900709219858156,0.0
20044,validation,0.025,0.011111111111111112,0.025,0.03611111111111111,0.008333333333333333
20351,validation,0.03367003367003367,0.0,0.0,0.006734006734006734,0.0
22459,validation,0.0,0.012711864406779662,0.00211864406779661,0.00847457627118644,0.00211864406779661
21142,validation,0.0,0.005154639175257732,0.005154639175257732,0.05154639175257732,0.0
11601,validation,0.0025252525252525255,0.010101010101010102,0.0,0.010101010101010102,0.010101010101010102
1117,validation,0.0,0.0106951871657754,0.0,0.0213903743315508,0.0
1756,validation,0.00949367088607595,0.012658227848101266,0.0,0.03481012658227848,0.0
16881,validation,0.021875,0.00625,0.0,0.01875,0.003125
6751,validation,0.0365296803652968,0.0045662100456621,0.0045662100456621,0.0821917808219178,0.0
870,validation,0.0,0.009933774834437087,0.0033112582781456954,0.0,0.006622516556291391
19741,validation,0.0,0.02092050209205021,0.008368200836820083,0.0041841004184100415,0.0041841004184100415
9104,validation,0.015748031496062992,0.0026246719160104987,0.005249343832020997,0.015748031496062992,0.0
721,validation,0.0,0.01278772378516624,0.0,0.030690537084398978,0.0
10997,validation,0.045454545454545456,0.001976284584980237,0.001976284584980237,0.01383399209486166,0.0
17270,validation,0.0,0.013157894736842105,0.0043859649122807015,0.021929824561403508,0.008771929824561403
19727,validation,0.009174311926605505,0.0045871559633027525,0.0,0.027522935779816515,0.013761467889908258
21226,validation,0.00881057268722467,0.030837004405286344,0.006607929515418502,0.01762114537444934,0.006607929515418502
23257,validation,0.0,0.0182648401826484,0.0,0.0091324200913242,0.0
8347,validation,0.02304147465437788,0.002304147465437788,0.0,0.01152073732718894,0.0069124423963133645
15588,validation,0.0035842293906810036,0.007168458781362007,0.0,0.007168458781362007,0.0035842293906810036
10938,validation,0.002105263157894737,0.018947368421052633,0.0,0.035789473684210524,0.002105263157894737
20472,validation,0.02390438247011952,0.00199203187250996,0.00597609561752988,0.02390438247011952,0.00398406374501992
20553,validation,0.015037593984962405,0.005012531328320802,0.0,0.0,0.002506265664160401
314,validation,0.0,0.00847457627118644,0.0,0.00423728813559322,0.0
23404,validation,0.047619047619047616,0.003663003663003663,0.003663003663003663,0.04395604395604396,0.003663003663003663
20449,validation,0.0,0.01556420233463035,0.0,0.06614785992217899,0.01556420233463035
21429,validation,0.03485254691689008,0.03395889186773905,0.0017873100983020554,0.004468275245755138,0.00804289544235925
5850,validation,0.013100436681222707,0.004366812227074236,0.026200873362445413,0.008733624454148471,0.0
6129,validation,0.018907563025210083,0.008403361344537815,0.0021008403361344537,0.018907563025210083,0.004201680672268907
5447,validation,0.04013377926421405,0.0,0.006688963210702341,0.006688963210702341,0.013377926421404682
3129,validation,0.003355704697986577,0.003355704697986577,0.0,0.003355704697986577,0.003355704697986577
16279,validation,0.05555555555555555,0.004273504273504274,0.0,0.021367521367521368,0.0
15632,validation,0.029227557411273485,0.0041753653444676405,0.0,0.033402922755741124,0.0
18380,validation,0.0,0.0,0.016042780748663103,0.0748663101604278,0.0
910,validation,0.0055248618784530384,0.011049723756906077,0.0,0.027624309392265192,0.0
3968,validation,0.002403846153846154,0.01201923076923077,0.002403846153846154,0.04326923076923077,0.007211538461538462
20528,validation,0.04864864864864865,0.0,0.0,0.016216216216216217,0.005405405405405406
22064,validation,0.03293413173652695,0.02844311377245509,0.004491017964071856,0.0074850299401197605,0.004491017964071856
10165,validation,0.019417475728155338,0.006472491909385114,0.0,0.03559870550161812,0.003236245954692557
336,validation,0.0,0.013651877133105802,0.0,0.034129692832764506,0.0
22065,validation,0.017777777777777778,0.0044444444444444444,0.0,0.008888888888888889,0.0
22661,validation,0.0,0.0045662100456621,0.00228310502283105,0.0319634703196347,0.00228310502283105
20627,validation,0.04732824427480916,0.004580152671755725,0.0,0.013740458015267175,0.0015267175572519084
2985,validation,0.002127659574468085,0.00851063829787234,0.0,0.019148936170212766,0.0
10878,validation,0.027700831024930747,0.00554016620498615,0.0,0.002770083102493075,0.0
15916,validation,0.018867924528301886,0.005390835579514825,0.0,0.01078167115902965,0.0026954177897574125
11669,validation,0.001841620626151013,0.01841620626151013,0.0,0.0,0.009208103130755065
13907,validation,0.0,0.0045871559633027525,0.0045871559633027525,0.03669724770642202,0.009174311926605505
11001,validation,0.057279236276849645,0.007159904534606206,0.0,0.007159904534606206,0.0
4820,validation,0.03900709219858156,0.005319148936170213,0.005319148936170213,0.0070921985815602835,0.0035460992907801418
19800,validation,0.03804347826086957,0.005434782608695652,0.0,0.03804347826086957,0.016304347826086956
16691,validation,0.03202846975088968,0.0071174377224199285,0.008896797153024912,0.014234875444839857,0.0035587188612099642
12100,validation,0.015873015873015872,0.003968253968253968,0.0,0.015873015873015872,0.0
16732,validation,0.02242152466367713,0.0,0.0,0.03587443946188341,0.008968609865470852
23204,validation,0.03709949409780776,0.01011804384485666,0.0,0.0387858347386172,0.00505902192242833
7243,validation,0.01384083044982699,0.010380622837370242,0.0034602076124567475,0.006920415224913495,0.0
24510,validation,0.02531645569620253,0.035864978902953586,0.0,0.008438818565400843,0.008438818565400843
14079,validation,0.0,0.025974025974025976,0.006493506493506494,0.0,0.0
11874,validation,0.0,0.02159827213822894,0.0021598272138228943,0.032397408207343416,0.008639308855291577
14520,validation,0.0,0.0,0.0,0.024734982332155476,0.0035335689045936395
