seed,validation_qwk,validation_rmse,validation_mae,validation_pearson,test_qwk,test_rmse,test_mae,test_pearson,w_deberta_pred,w_concreteness,w_specificity,w_emotional_salience,w_personal_experience_salience,w_narrative_event_density
11,0.7701770056856142,0.6362715282439918,0.48928807122225554,0.8004758949393849,0.7647022909473773,0.6248801201913484,0.4818035886587701,0.8000994043474374,1.016973386903288,-0.04396824345376729,0.006191902299110936,-0.07932432013745433,-0.001813185622670375,-0.141875318281958
22,0.771428051276674,0.6266279905764407,0.4773766245520413,0.8106033519266804,0.7654144701311393,0.6149626057115982,0.47044973599865575,0.8103674003670067,1.023508482656014,-0.053250967097333325,-0.020837449766925736,-0.021294611833868566,-0.018399265383312432,-0.0007019513260130753
33,0.7707604606836728,0.6247495744420845,0.4748210614174169,0.8094950144187479,0.7677922969805555,0.6140667484322072,0.46829599292057855,0.8086593078231229,1.0187733542464505,-0.024386918774925034,-0.0014015330442439366,-0.014385042715095622,-0.02388763420589584,-0.06757716524303659
44,0.774853967202562,0.6381539247253886,0.4926482603173473,0.8059718389254471,0.7644361183847124,0.6280753935012036,0.48683041444731645,0.8052417435046676,1.030465969232451,-0.10236088591406017,-0.029831431969682656,0.025528274855640264,0.002516694318020235,-0.10129312382845333
55,0.772251466618927,0.6339785584928231,0.48824448349125626,0.8074330278698375,0.7645336233088104,0.6216086445860346,0.4794016426634766,0.8077302607382144,1.0277220673711411,-0.07164271397047738,-0.013778763325775151,-0.04456319103026754,0.026514184900630493,-0.09994177648780159
