Model,QWK,RMSE,MAE,Pearson
Model A: DeBERTa only,0.754522594259706,0.6032443511570389,0.4489521908943247,0.8099091357063036
Model B: Heuristic features only,0.0849272070738647,0.9782629437530341,0.7758954335665236,0.282968620474076
Model C: DeBERTa + heuristic features,0.7542462528729764,0.5944679538441843,0.43731563410790575,0.8127721990794211
Model D: DeBERTa + heuristic features + GA,0.765043498646699,0.6160512424134248,0.4721447702398049,0.8102418182706136
